index,input,output
382,-0.752125,-0.461435
383,-0.750953,-0.461476
384,-0.74978,-0.461518
385,-0.748608,-0.461559
386,-0.747435,-0.4616
387,-0.746263,-0.461642
388,-0.74509,-0.461683
389,-0.743918,-0.461724
390,-0.742746,-0.461765
391,-0.741573,-0.461806
392,-0.740401,-0.461847
393,-0.739228,-0.461888
394,-0.738056,-0.461929
395,-0.736883,-0.46197
396,-0.735711,-0.462011
397,-0.734538,-0.462051
398,-0.733366,-0.462092
399,-0.732193,-0.462133
400,-0.731021,-0.462173
401,-0.729849,-0.462214
402,-0.728676,-0.462255
403,-0.727504,-0.462295
404,-0.726331,-0.462336
405,-0.725159,-0.462376
406,-0.723986,-0.462417
407,-0.722814,-0.462457
408,-0.721641,-0.462497
409,-0.720469,-0.462537
410,-0.719297,-0.462578
411,-0.718124,-0.462618
412,-0.716952,-0.462658
413,-0.715779,-0.462698
414,-0.714607,-0.462738
415,-0.713434,-0.462778
416,-0.712262,-0.462818
417,-0.711089,-0.462858
418,-0.709917,-0.462898
419,-0.708745,-0.462938
420,-0.707572,-0.462978
421,-0.7064,-0.463018
422,-0.705227,-0.463057
423,-0.704055,-0.463097
424,-0.702882,-0.463137
425,-0.70171,-0.463176
426,-0.700537,-0.463216
427,-0.699365,-0.463255
428,-0.698192,-0.463295
429,-0.69702,-0.463334
430,-0.695848,-0.463374
431,-0.694675,-0.463413
432,-0.693503,-0.463452
433,-0.69233,-0.463492
434,-0.691158,-0.463531
435,-0.689985,-0.46357
436,-0.688813,-0.463609
437,-0.68764,-0.463648
438,-0.686468,-0.463688
439,-0.685296,-0.463727
440,-0.684123,-0.463766
441,-0.682951,-0.463805
442,-0.681778,-0.463843
443,-0.680606,-0.463882
444,-0.679433,-0.463921
445,-0.678261,-0.46396
446,-0.677088,-0.463999
447,-0.675916,-0.464037
448,-0.674744,-0.464076
449,-0.673571,-0.464115
450,-0.672399,-0.464153
451,-0.671226,-0.464192
452,-0.670054,-0.46423
453,-0.668881,-0.464269
454,-0.667709,-0.464307
455,-0.666536,-0.464346
456,-0.665364,-0.464384
457,-0.664192,-0.464422
458,-0.663019,-0.464461
459,-0.661847,-0.464499
460,-0.660674,-0.464537
461,-0.659502,-0.464575
462,-0.658329,-0.464613
463,-0.657157,-0.464651
464,-0.655984,-0.464689
465,-0.654812,-0.464727
466,-0.653639,-0.464765
467,-0.652467,-0.464803
468,-0.651295,-0.464841
469,-0.650122,-0.464879
470,-0.64895,-0.464917
471,-0.647777,-0.464955
472,-0.646605,-0.464992
473,-0.645432,-0.46503
474,-0.64426,-0.465068
475,-0.643088,-0.465105
476,-0.641915,-0.465143
477,-0.640743,-0.46518
478,-0.63957,-0.465218
479,-0.638398,-0.465255
480,-0.637225,-0.465293
481,-0.636053,-0.46533
482,-0.63488,-0.465367
483,-0.633708,-0.465405
484,-0.632535,-0.465442
485,-0.631363,-0.465479
486,-0.630191,-0.465516
487,-0.629018,-0.465553
488,-0.627846,-0.465591
489,-0.626673,-0.465628
490,-0.625501,-0.465665
491,-0.624328,-0.465702
492,-0.623156,-0.465739
493,-0.621983,-0.465776
494,-0.620811,-0.465812
495,-0.619639,-0.465849
496,-0.618466,-0.465886
497,-0.617294,-0.465923
498,-0.616121,-0.465959
499,-0.614949,-0.465996
